x,y,accel,injury
1030,1435,-0.17494450239002218,-0.3769766996524986
916,1437,-0.12329847599883437,-0.3857459215754522
803,1438,-0.16926365394978243,-0.39838080394682374
689,1440,0.4788655127677356,0.4988399400758361
5630,1467,0.6217902597435695,2.621786013722072
5516,1468,0.07413421495138092,0.11084305602906784
5403,1470,-0.2713813587041451,-0.43432698217813925
5289,1472,-0.3488957476150258,-0.4514853065414824
5175,1473,-0.12578860072229667,-0.39561357957462295
5062,1475,0.16537208856795735,-0.36916061887683166
4948,1477,0.05827667722960348,-0.341519693323541
4835,1478,-0.08923593545680711,-0.26563846343236597
4721,1480,-0.05711084855921165,0.17838655696717856
4608,1481,-0.12355293173143171,-0.3226223434112627
4494,1483,-0.03177355275289794,-0.3170608070821579
4381,1485,-0.24621760934294995,-0.24640280813539708
4267,1486,-0.028326700170136256,-0.4037738757082631
4154,1488,0.14561745031380086,-0.387031725710489
4040,1490,0.0429616583691232,-0.3327107352469108
3926,1491,0.05782916427094988,-0.30026416928846716
3813,1493,-0.09163798322422825,-0.2237309301593319
3699,1495,0.0940469221508988,-0.4514853065414824
3586,1496,0.18123625560594747,-0.4514853065414824
3472,1498,0.46598923836243394,-0.024671565180338344
3359,1499,-0.07988832369826275,-0.16115412563445244
3245,1501,0.21935137953951894,-0.4514853065414824
3132,1503,0.24198980146548763,-0.3952960749149084
3018,1504,0.16081261436411382,-0.30860136116422526
2905,1506,0.16962504166973025,-0.2425547195411071
2791,1508,-0.24704459019574765,-0.4514853065414824
2678,1509,-0.12651458798571136,-0.3789068718822903
2564,1511,-0.20570269298609545,-0.34597911236985995
2450,1513,-0.37616611987205095,0.11569510043919651
2337,1514,-0.10705269752694897,0.07621135473427311
2223,1516,0.03542370936627224,-0.009472622753593446
2110,1518,-0.1105126236373021,-0.40962946852659354
1996,1519,-0.35650807464166206,-0.17029369498274485
1883,1521,-0.2865688099321728,-0.13802277470557509
1769,1522,-0.045674105625376514,-0.17878931186295222
1656,1524,-0.13015066705769945,0.17004728085914542
1542,1526,-0.2118435098785806,-0.3658640843716521
1429,1527,-0.22595980299872415,-0.3661086031289331
1315,1529,-0.23532075201771155,-0.4514853065414824
1202,1531,0.07411941115207513,-0.3301663721478714
1088,1532,-0.14526877281250883,-0.3943419183194519
974,1534,-0.2740399901992177,-0.30647877932372397
861,1536,-0.31390214108979875,-0.36421861104494196
747,1537,0.3368389521944573,0.03938235974096808
634,1539,0.39815350226834517,0.9306703792954757
5801,1562,1.3538142461585447,3.4422924275375877
5688,1564,0.7906965809347917,2.1900993580088146
5574,1566,0.13234597338132637,0.30257805493408263
5461,1567,-0.042362100055349745,-0.3099387888602802
5347,1569,-0.10572827458337172,-0.22927904395404552
5234,1571,0.1586243484813598,-0.3962442672045768
5120,1572,0.008184721667480382,-0.3717964060870489
5007,1574,-0.14806383450634722,-0.378011081025247
4893,1576,-0.039698293760892886,-0.30703399782427737
4779,1577,0.041217972164093855,-0.25588142926372726
4666,1579,0.040971364585261766,-0.3206261585806814
4552,1580,-0.2960698103583653,-0.1540637341678275
4439,1582,-0.015008064682758577,-0.18944559066337183
4325,1584,-0.07829981423306023,-0.3670989344560776
4212,1585,0.03690191775172712,-0.4514853065414824
4098,1587,-0.09810505530451907,-0.357097930078274
3985,1589,0.07149522842830684,-0.3330904148259071
3871,1590,0.05004127550400521,-0.4514853065414824
3758,1592,0.05760490113273935,-0.3761355293719953
3644,1594,0.1025070634900308,-0.38451430458671937
3531,1595,0.21955252429016553,-0.017431587953272338
3417,1597,-0.03966839212662031,-0.4514853065414824
3303,1599,-0.031177572646583634,-0.08295640864054123
3190,1600,-0.2679974002057889,-0.39083030323495715
3076,1602,0.051851326863281755,-0.3831820440123788
2963,1603,-0.062893119203886,-0.4514853065414824
2849,1605,0.0004063803093781432,-0.1654413553985956
2736,1607,-0.22014963540732707,-0.4514853065414824
2622,1608,0.06548795215452467,-0.33925957711011256
2509,1610,-0.03379151613466937,-0.12206181982219229
2395,1612,-0.3983230871928511,-0.2818476253911393
2282,1613,-0.16169451045264535,-0.20674263116126937
2168,1615,-0.31421767561716085,-0.07288677172388326
2054,1617,-0.3138632084252562,-0.4514853065414824
1941,1618,-0.30071342482374763,-0.3321345358989649
1827,1620,-0.35489799981541126,-0.4514853065414824
1714,1621,-0.22516681773732827,0.45838536901187243
1600,1623,0.0331782606141726,-0.33078738198875896
1487,1625,-0.3047175894105205,-0.4514853065414824
1373,1626,-0.27266039969574163,-0.3856121083033565
1260,1628,-0.19698433741158972,-0.4514853065414824
1146,1630,-0.181517803830924,-0.2896569649041199
1033,1631,-0.33665484016903086,-0.20452542957746633
919,1633,0.23976742502738713,-0.3895576481664567
806,1635,-0.26128832266638174,-0.16608536849840236
692,1636,0.11001894226752847,-0.20022796781601646
578,1638,0.4202344446630272,3.218162581705665
